element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""200.3325""","=""0.0006""","=""200.331919""","=""0.000006""","=""1""","=""""",,"=""158428.1087""","=""208329.1101""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""200.39101""","=""0.00004""","=""200.390976""","=""0.000009""","=""10""","=""""",,"=""160239.4280""","=""210125.7255""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""200.49162""","=""0.00002""","=""200.491595""","=""0.000005""","=""17""","=""""",,"=""157234.0196""","=""207095.2846""","=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""5/2""",,"=""""","=""L11520""",
Ar,3,"=""200.68505""","=""0.00009""","=""200.68507""","=""0.00008""","=""5""","=""""",,"=""189380.83""","=""239194.033""","=""3s2.3p3.(2P*).3d""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3S""","=""1""",,"=""""","=""L11520""",
Ar,4,"=""200.689""","=""0.001""","=""200.6907""","=""0.0015""","=""6""","=""""",,"=""256087.8""","=""305899.6""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L11418""",
Ar,2,"=""200.7178""","=""0.0006""","=""200.716909""","=""0.000006""","=""1""","=""""",,"=""159393.3850""","=""209198.6869""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""201.1141""","=""0.0006""","=""201.113972""","=""0.000006""","=""1""","=""""",,"=""159706.5337""","=""209413.5184""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).6d""","=""2D""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""201.4311""","=""0.0006""","=""201.430870""","=""0.000005""","=""1""","=""""",,"=""145668.8845""","=""195297.6798""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""201.53171""","=""0.00008""","=""201.531681""","=""0.000005""","=""6""","=""""",,"=""157673.4134""","=""207277.3869""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""201.87552""","=""0.00006""","=""201.875523""","=""0.000005""","=""6""","=""""",,"=""158730.2995""","=""208249.7978""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""202.176""","=""0.002""","=""202.17457""","=""0.00005""","=""0.5""","=""""",,"=""108721.537""","=""158167.7999""","=""3s.3p6""","=""2S""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""202.273""","=""0.002""","=""202.274361""","=""0.000005""","=""1""","=""""",,"=""157673.4134""","=""207095.2846""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""202.31164""","=""0.00005""","=""202.311608""","=""0.000005""","=""9""","=""""",,"=""158730.2995""","=""208143.0731""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).6d""","=""4F""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""202.4733""","=""0.0006""","=""202.476857""","=""0.000005""","=""2""","=""""",,"=""159393.3850""","=""208765.8367""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""202.51844""","=""0.00004""","=""202.518429""","=""0.000006""","=""10""","=""""",,"=""145668.8845""","=""195031.2028""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""202.6602""","=""0.0006""","=""202.660672""","=""0.000005""","=""2""","=""""",,"=""145668.8845""","=""194996.5613""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""202.8558""","=""0.0006""","=""202.856745""","=""0.000006""","=""1""","=""""",,"=""159393.3850""","=""208673.3904""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4F""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""203.21774""","=""0.00005""","=""203.217775""","=""0.000005""","=""9""","=""""",,"=""145668.8845""","=""194861.3529""","=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""203.47624""","=""0.00006""","=""203.476255""","=""0.000006""","=""6""","=""""",,"=""147503.1134""","=""196633.1005""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""203.5629""","=""0.0006""","=""203.560790""","=""0.000004""","=""0.5""","=""""",,"=""158167.7999""","=""207277.3869""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""203.94919""","=""0.00001""","=""203.949186""","=""0.000004""","=""26""","=""""",,"=""154181.4942""","=""203197.5711""","=""3s2.3p4.(1D).3d""","=""2G""","=""9/2""","=""3s2.3p4.(1D).5p""","=""2F*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""204.23607""","=""0.00002""","=""204.236054""","=""0.000005""","=""21""","=""""",,"=""154204.0240""","=""203151.2627""","=""3s2.3p4.(1D).3d""","=""2G""","=""7/2""","=""3s2.3p4.(1D).5p""","=""2F*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""204.6155""","=""0.0006""","=""204.615789""","=""0.000004""","=""0.5""","=""""",,"=""159393.3850""","=""208249.7978""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""204.64925""","=""0.00003""","=""204.649276""","=""0.000006""","=""14""","=""""",,"=""147228.0521""","=""196076.4715""","=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""204.79994""","=""0.00010""","=""204.799982""","=""0.000005""","=""5""","=""""",,"=""147503.1134""","=""196315.5916""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""205.03242""","=""0.00008""","=""205.032402""","=""0.000005""","=""5""","=""""",,"=""147875.9477""","=""196633.1005""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""205.07924""","=""0.00001""","=""205.079243""","=""0.000005""","=""83""","=""""",,"=""147875.9477""","=""196621.9658""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""205.75127""","=""0.00001""","=""205.751267""","=""0.000005""","=""91""","=""""",,"=""147503.1134""","=""196089.9385""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""205.80835""","=""0.00002""","=""205.808320""","=""0.000006""","=""22""","=""""",,"=""147503.1134""","=""196076.4715""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L11520""",
Ar,4,"=""205.882""","=""0.001""","=""205.8818""","=""0.0011""","=""0.5""","=""""",,"=""257343.58""","=""305899.6""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L11418""",
Ar,2,"=""205.91973""","=""0.00011""","=""205.919705""","=""0.000004""","=""6""","=""""",,"=""158730.2995""","=""207277.3869""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""206.0079""","=""0.0006""","=""206.007466""","=""0.000005""","=""1""","=""""",,"=""160239.4280""","=""208765.8367""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""206.0855""","=""0.0006""","=""206.085173""","=""0.000008""","=""0.5""","=""""",,"=""161089.3846""","=""209597.4982""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).6d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,4,"=""206.189""","=""0.001""","=""206.1884""","=""0.0011""","=""4""","=""""",,"=""257343.58""","=""305827.4""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",,"=""""","=""L11418""",
Ar,2,"=""206.37647""","=""0.00004""","=""206.376514""","=""0.000005""","=""8""","=""""",,"=""147875.9477""","=""196315.5916""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,3,"=""206.4150""","=""0.0020""","=""206.416""","=""0.003""","=""1""","=""""",,"=""223663.160""","=""272093.5""","=""3s2.3p3.(2D*).4p""","=""1P""","=""1""","=""3s2.3p3.(2D*).4d""","=""1D*""","=""2""",,"=""""","=""L9366""",
Ar,2,"=""206.42110""","=""0.00001""","=""206.421105""","=""0.000005""","=""123""","=""""",,"=""147875.9477""","=""196305.1289""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""207.34254""","=""0.00001""","=""207.342531""","=""0.000004""","=""43""","=""""",,"=""147875.9477""","=""196089.9385""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""207.4003""","=""0.0006""","=""207.400469""","=""0.000006""","=""1""","=""""",,"=""147875.9477""","=""196076.4715""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""207.61840""","=""0.00008""","=""207.618356""","=""0.000005""","=""7""","=""""",,"=""161048.7411""","=""209198.6869""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""207.96530""","=""0.00001""","=""207.965303""","=""0.000006""","=""68""","=""""",,"=""147228.0521""","=""195297.6798""","=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""208.03555""","=""0.00001""","=""208.035549""","=""0.000007""","=""89""","=""""",,"=""147228.0521""","=""195281.4505""","=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""208.21077""","=""0.00004""","=""208.210791""","=""0.000005""","=""12""","=""""",,"=""148620.1414""","=""196633.1005""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""208.6816""","=""0.0006""","=""208.681189""","=""0.000004""","=""2""","=""""",,"=""143107.6801""","=""191012.4246""","=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""208.7718""","=""0.0006""","=""208.771598""","=""0.000004""","=""1""","=""""",,"=""159393.3850""","=""207277.3869""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""209.16231""","=""0.00001""","=""209.162310""","=""0.000005""","=""89""","=""""",,"=""147503.1134""","=""195297.6798""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""209.16405""","=""0.00002""","=""209.164041""","=""0.000004""","=""21""","=""""",,"=""142717.0965""","=""190511.2674""","=""3s2.3p4.(3P).3d""","=""4F""","=""7/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""209.23334""","=""0.00002""","=""209.233367""","=""0.000006""","=""21""","=""""",,"=""147503.1134""","=""195281.4505""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""209.27643""","=""0.00002""","=""209.276420""","=""0.000006""","=""16""","=""""",,"=""147228.0521""","=""194996.5613""","=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""209.5976""","=""0.0006""","=""209.597025""","=""0.000004""","=""1""","=""""",,"=""148620.1414""","=""196315.5916""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""209.6808""","=""0.0006""","=""209.680555""","=""0.000004""","=""1""","=""""",,"=""161089.3846""","=""208765.8367""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""209.81285""","=""0.00007""","=""209.812869""","=""0.000005""","=""6""","=""""",,"=""161048.7411""","=""208695.1309""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""209.8364""","=""0.0006""","=""209.836660""","=""0.000004""","=""0.5""","=""""",,"=""143371.4364""","=""191012.4246""","=""3s2.3p4.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""209.91369""","=""0.00008""","=""209.913652""","=""0.000004""","=""5""","=""""",,"=""144709.9818""","=""192333.4986""","=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""","=""3s2.3p4.(1S).4p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""209.991""","=""0.002""","=""209.992019""","=""0.000005""","=""0?""","=""""",,"=""161089.3846""","=""208695.1309""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""210.14605""","=""0.00008""","=""210.146066""","=""0.000004""","=""7""","=""""",,"=""159706.5337""","=""207277.3869""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""210.33517""","=""0.00001""","=""210.335170""","=""0.000006""","=""112""","=""""",,"=""147503.1134""","=""195031.2028""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""210.48862""","=""0.00002""","=""210.488606""","=""0.000005""","=""22""","=""""",,"=""147503.1134""","=""194996.5613""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""210.59351""","=""0.00002""","=""210.593490""","=""0.000004""","=""25""","=""""",,"=""148620.1414""","=""196089.9385""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""210.6247""","=""0.0006""","=""210.625155""","=""0.000004""","=""1""","=""""",,"=""148842.4674""","=""196305.1289""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""210.6537""","=""0.0006""","=""210.653259""","=""0.000005""","=""1""","=""""",,"=""148620.1414""","=""196076.4715""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""210.80699""","=""0.00003""","=""210.806966""","=""0.000005""","=""8""","=""""",,"=""147875.9477""","=""195297.6798""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""210.88763""","=""0.00017""","=""210.887667""","=""0.000004""","=""3""","=""""",,"=""143107.6801""","=""190511.2674""","=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""210.90479""","=""0.00003""","=""210.904818""","=""0.000004""","=""15""","=""""",,"=""143107.6801""","=""190507.4128""","=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""211.07472""","=""0.00003""","=""211.074739""","=""0.000004""","=""14""","=""""",,"=""143371.4364""","=""190733.0156""","=""3s2.3p4.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""211.08964""","=""0.00003""","=""211.089626""","=""0.000005""","=""15""","=""""",,"=""147503.1134""","=""194861.3529""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""211.4532""","=""0.0006""","=""211.454034""","=""0.000004""","=""1""","=""""",,"=""148842.4674""","=""196119.1021""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""211.50789""","=""0.00003""","=""211.507890""","=""0.000004""","=""11""","=""""",,"=""144709.9818""","=""191974.5800""","=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""","=""3s2.3p4.(1S).4p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""211.6210""","=""0.0006""","=""211.619266""","=""0.000005""","=""0.5""","=""""",,"=""161089.3846""","=""208329.1101""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""211.66863""","=""0.00001""","=""211.668617""","=""0.000004""","=""66""","=""""",,"=""142186.3153""","=""189415.0280""","=""3s2.3p4.(3P).3d""","=""4F""","=""9/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""211.7934""","=""0.0006""","=""211.792653""","=""0.000004""","=""1""","=""""",,"=""161048.7411""","=""208249.7978""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""211.8948""","=""0.0006""","=""211.895002""","=""0.000018""","=""1""","=""""",,"=""163299.5616""","=""210477.822""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<2>).6f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""211.99839""","=""0.00001""","=""211.998390""","=""0.000006""","=""44""","=""""",,"=""147875.9477""","=""195031.2028""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""212.08511""","=""0.00015""","=""212.085108""","=""0.000004""","=""4""","=""""",,"=""143371.4364""","=""190507.4128""","=""3s2.3p4.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""212.13048""","=""0.00014""","=""212.130531""","=""0.000004""","=""5""","=""""",,"=""149179.2444""","=""196305.1289""","=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""212.1542""","=""0.0006""","=""212.154262""","=""0.000005""","=""1""","=""""",,"=""147875.9477""","=""194996.5613""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""212.234""","=""0.004""","=""212.231933""","=""0.000023""","=""8""","=""""",,"=""225149.2072""","=""272252.578""","=""3s2.3p3.(2D*).4p""","=""3D""","=""2""","=""3s2.3p3.(2D*).5s""","=""3D*""","=""3""",,"=""""","=""L7491""",
Ar,3,"=""212.51373""","=""0.00005""","=""212.51373""","=""0.00003""","=""7""","=""""",,"=""225149.2072""","=""272190.126""","=""3s2.3p3.(2D*).4p""","=""3D""","=""2""","=""3s2.3p3.(2D*).5s""","=""3D*""","=""2""",,"=""""","=""L11520""",
Ar,2,"=""212.52713""","=""0.00007""","=""212.527102""","=""0.000004""","=""5""","=""""",,"=""160239.4280""","=""207277.3869""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).7s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,3,"=""212.550""","=""0.004""","=""212.54710""","=""0.00003""","=""3""","=""""",,"=""225156.5915""","=""272190.126""","=""3s2.3p3.(2D*).4p""","=""3D""","=""1""","=""3s2.3p3.(2D*).5s""","=""3D*""","=""2""",,"=""""","=""L7491""",
Ar,2,"=""212.5706""","=""0.0006""","=""212.57029""","=""0.00003""","=""1""","=""""",,"=""163506.5368""","=""210534.939""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<2>).6f""","=""2[5]*""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""212.66643""","=""0.00001""","=""212.666435""","=""0.000004""","=""79""","=""""",,"=""147875.9477""","=""194883.0921""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""212.70503""","=""0.00004""","=""212.705013""","=""0.000004""","=""10""","=""""",,"=""143107.6801""","=""190106.3000""","=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""212.7646""","=""0.0006""","=""212.764843""","=""0.000004""","=""3""","=""""",,"=""147875.9477""","=""194861.3529""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""212.789""","=""0.004""","=""212.78723""","=""0.00004""","=""3""","=""""",,"=""225149.2072""","=""272129.669""","=""3s2.3p3.(2D*).4p""","=""3D""","=""2""","=""3s2.3p3.(2D*).5s""","=""3D*""","=""1""",,"=""""","=""L7491""",
Ar,3,"=""212.822""","=""0.004""","=""212.82069""","=""0.00004""","=""6""","=""""",,"=""225156.5915""","=""272129.669""","=""3s2.3p3.(2D*).4p""","=""3D""","=""1""","=""3s2.3p3.(2D*).5s""","=""3D*""","=""1""",,"=""""","=""L7491""",
Ar,2,"=""212.8665""","=""0.0006""","=""212.865810""","=""0.000007""","=""1""","=""""",,"=""161048.7411""","=""208011.8628""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4D""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""212.94236""","=""0.00001""","=""212.942384""","=""0.000005""","=""32""","=""""",,"=""147875.9477""","=""194822.1833""","=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""212.98085""","=""0.00002""","=""212.980875""","=""0.000004""","=""21""","=""""",,"=""142717.0965""","=""189654.8487""","=""3s2.3p4.(3P).3d""","=""4F""","=""7/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""213.04258""","=""0.00001""","=""213.042582""","=""0.000004""","=""155""","=""""",,"=""149179.2444""","=""196103.4029""","=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""213.0974""","=""0.0006""","=""213.09667""","=""0.00005""","=""0.5""","=""""",,"=""157673.4134""","=""204585.664""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""2D""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""213.38684""","=""0.00004""","=""213.386832""","=""0.000024""","=""11""","=""""",,"=""225404.1120""","=""272252.578""","=""3s2.3p3.(2D*).4p""","=""3D""","=""3""","=""3s2.3p3.(2D*).5s""","=""3D*""","=""3""",,"=""""","=""L11520""",
Ar,2,"=""213.4941""","=""0.0006""","=""213.49346""","=""0.00014""","=""1""","=""""",,"=""172335.5985""","=""219160.67""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(1D<2>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,3,"=""213.53565""","=""0.00004""","=""213.53563""","=""0.00004""","=""5""","=""""",,"=""239194.033""","=""286009.858""","=""3s2.3p3.(2P*).4p""","=""3S""","=""1""","=""3s2.3p3.(2P*).5s""","=""3P*""","=""2""",,"=""""","=""L11520""",
