element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,1,"=""""","=""""","=""454.4746""","=""""","=""""","=""8.3e+04""",E,"=""104102.0990""","=""126099.36""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,2,"=""454.50516""","=""0.00001""","=""454.505166""","=""0.000007""","=""1738""","=""4.71e+07""",B,"=""138243.6444""","=""160239.4280""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""454.77582""","=""0.00008""","=""454.775828""","=""0.000007""","=""20""","=""7.7e+06""",D,"=""160239.4280""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,3,"=""454.8565""","=""0.0020""","=""454.85516""","=""0.00017""","=""2""","=""""",,"=""187172.022""","=""209150.8807""","=""3s2.3p3.(2D*).3d""","=""3D*""","=""1""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""",,"=""""","=""L9366""",
Ar,1,"=""""","=""""","=""455.4324""","=""""","=""""","=""3.8e+04""",E,"=""104102.0990""","=""126053.10""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,2,"=""456.10124""","=""0.00012""","=""456.101276""","=""0.000017""","=""7""","=""""",,"=""157673.4134""","=""179592.2248""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""456.37423""","=""0.00006""","=""456.37427""","=""0.00003""","=""37bl""","=""""",,"=""174409.8916""","=""196315.5916""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""456.44055""","=""0.00004""","=""456.440540""","=""0.000009""","=""42""","=""2.9e+07""",D,"=""161048.7411""","=""182951.2609""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",,"=""T1240""","=""L11520""",
Ar,3,"=""456.5210""","=""0.0020""","=""456.5206""","=""0.0004""","=""8""","=""""",,"=""219908.474""","=""241807.155""","=""3s2.3p3.(2D*).3d""","=""1P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""1P""","=""1""",,"=""""","=""L9366""",
Ar,2,"=""457.2894""","=""0.0008""","=""457.289124""","=""0.000007""","=""2""","=""""",,"=""161089.3846""","=""182951.2609""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""457.93493""","=""0.00001""","=""457.934934""","=""0.000007""","=""871""","=""8.0e+07""",B,"=""139258.3389""","=""161089.3846""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,1,"=""""","=""""","=""458.4956""","=""""","=""""","=""1.6e+05""",E,"=""104102.0990""","=""125906.45""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.6611""","=""""","=""""","=""2.3e+05""",E,"=""104102.0990""","=""125898.58""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""458.7209""","=""""","=""""","=""4.9e+05""",E,"=""104102.0990""","=""125895.74""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",,"=""T1164n""","=""""",
Ar,2,"=""458.7895""","=""0.0008""","=""458.789089""","=""0.000009""","=""3""","=""3.e+05""",C,"=""139258.3389""","=""161048.7411""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",,"=""T926""","=""L14821""",
Ar,1,"=""""","=""""","=""458.92893""","=""""","=""""","=""6.2e+03""",C,"=""95399.8276""","=""117183.5901""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""""",
Ar,2,"=""458.98976""","=""0.00001""","=""458.989759""","=""0.000007""","=""25704""","=""6.64e+07""",A,"=""148620.1414""","=""170401.0170""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""459.34476""","=""0.00004""","=""459.34483""","=""0.00003""","=""4""","=""""",,"=""158167.7999""","=""179931.8393""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""",,"=""""","=""L2634""",
Ar,1,"=""459.6097""","=""""","=""459.60966""","=""""","=""15""","=""9.5e+04""",B,"=""95399.8276""","=""117151.3264""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,2,"=""459.87625""","=""0.00001""","=""459.876258""","=""0.000007""","=""182""","=""6.7e+06""",B,"=""150474.9903""","=""172213.8798""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""460.002""","=""0.002""","=""460.001880""","=""0.000009""","=""1h""","=""""",,"=""167307.9822""","=""189040.9351""","=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""460.95669""","=""0.00001""","=""460.956692""","=""0.000007""","=""2291""","=""7.89e+07""",A,"=""148842.4674""","=""170530.4040""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""",,"=""T926""","=""L11520""",
Ar,2,"=""461.12432""","=""0.00016""","=""461.12444""","=""0.00003""","=""9""","=""""",,"=""174409.8916""","=""196089.9385""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""461.410""","=""0.002""","=""461.41106""","=""0.00004""","=""1h""","=""""",,"=""174409.8916""","=""196076.4715""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,5,"=""462.547""","=""0.004""","=""462.539""","=""0.007""","=""""","=""3.8e+00""",D,"=""16298.66""","=""37912.4""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p2""","=""1S""","=""0""",E2,"=""T761""","=""L16109""",
Ar,1,"=""462.8441""","=""""","=""462.84409""","=""""","=""7""","=""3.83e+04""",B+,"=""95399.8276""","=""116999.3259""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""T5223""","=""L2634""",
Ar,8,"=""463.08""","=""0.04""","=""463.1""","=""0.5""","=""""","=""""",,"=""1086703.""","=""1108291.""","=""2p6.10f""","=""2F*""","=""7/2""","=""2p6.12g""","=""2G""","=""9/2""",,"=""""","=""L16099""",
Ar,2,"=""463.72324""","=""0.00001""","=""463.723239""","=""0.000007""","=""148""","=""7.1e+06""",A,"=""148842.4674""","=""170401.0170""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,1,"=""""","=""""","=""464.2137""","=""""","=""""","=""9.6e+04""",E,"=""104102.0990""","=""125637.87""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
Ar,1,"=""""","=""""","=""464.7489""","=""""","=""""","=""1.2e+05""",E,"=""104102.0990""","=""125613.07""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
Ar,8,"=""464.80""","=""0.04""","=""464.8""","=""0.3""","=""*""","=""""",,"=""1086860.""","=""1108370.""","=""2p6.10g""","=""2G""","=""9/2""","=""2p6.12h""","=""2H*""","=""11/2""",,"=""""","=""L16099""",
Ar,8,"=""464.80""","=""0.04""","=""464.8""","=""0.3""","=""*""","=""""",,"=""1086860.""","=""1108370.""","=""2p6.10g""","=""2G""","=""7/2""","=""2p6.12h""","=""2H*""","=""9/2""",,"=""""","=""L16099""",
Ar,2,"=""465.79009""","=""0.00001""","=""465.790090""","=""0.000007""","=""1445""","=""8.92e+07""",B,"=""138243.6444""","=""159706.5337""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""466.6260""","=""0.0008""","=""466.626360""","=""0.000020""","=""1""","=""""",,"=""158167.7999""","=""179592.2248""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""468.14971""","=""0.00004""","=""468.149686""","=""0.000007""","=""5""","=""""",,"=""160239.4280""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""""","=""L2634""",
Ar,2,"=""468.22759""","=""0.00004""","=""468.227587""","=""0.000007""","=""21""","=""8.e+05""",C+,"=""149179.2444""","=""170530.4040""","=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""",,"=""T926""","=""L11520""",
Ar,3,"=""468.7618""","=""0.0020""","=""468.75929""","=""0.00013""","=""5""","=""""",,"=""187823.939""","=""209150.8807""","=""3s2.3p3.(2D*).3d""","=""3D*""","=""2""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""",,"=""""","=""L9366""",
Ar,1,"=""470.2316""","=""""","=""470.23164""","=""""","=""15""","=""1.09e+05""",B,"=""95399.8276""","=""116659.9934""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,2,"=""470.33576""","=""0.00008""","=""470.33571""","=""0.00004""","=""15""","=""""",,"=""174821.0098""","=""196076.4715""","=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""471.08230""","=""0.00004""","=""471.082366""","=""0.000007""","=""14""","=""5.e+05""",C+,"=""149179.2444""","=""170401.0170""","=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,4,"=""471.135""","=""0.002""","=""471.126""","=""0.009""","=""*""","=""9.6e-03""",D,"=""0.0""","=""21219.8""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""5/2""",M1+E2,"=""T761""","=""L3452""",
Ar,2,"=""472.15913""","=""0.00005""","=""472.159064""","=""0.000009""","=""32""","=""1.5e+07""",D,"=""161048.7411""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""T1240""","=""L11520""",
