obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""537.3494""","=""""","=""2.7e+05""",D,"=""106087.2598""","=""124691.951""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""539.3979""","=""""","=""9.6e+04""",D,"=""106237.5518""","=""124771.59""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""541.0475""","=""""","=""2.0e+05""",D,"=""106237.5518""","=""124715.081""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
"=""542.1352""","=""542.1351""","=""5""","=""6.0e+05""",D,"=""105462.7596""","=""123903.220""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""L2634""",
"=""""","=""543.99888""","=""""","=""1.9e+05""",D+,"=""104102.0990""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""544.2246""","=""""","=""9.3e+04""",D,"=""105462.7596""","=""123832.419""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
"=""545.1652""","=""545.16517""","=""10""","=""4.7e+05""",D+,"=""104102.0990""","=""122440.0672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""545.7416""","=""""","=""3.6e+05""",D,"=""105617.2700""","=""123935.870""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""545.96506""","=""""","=""3.8e+04""",D,"=""105462.7596""","=""123773.8614""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""""",
"=""""","=""546.7160""","=""""","=""7.6e+04""",D,"=""105617.2700""","=""123903.220""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""547.3451""","=""""","=""2.0e+05""",D,"=""105617.2700""","=""123882.203""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""549.0120""","=""""","=""8.5e+04""",D,"=""105617.2700""","=""123826.750""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""549.2080""","=""""","=""5.6e+05""",E,"=""107131.7086""","=""125334.69""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""T1164n""","=""""",
"=""549.5874""","=""549.5873""","=""25""","=""1.69e+06""",C,"=""105462.7596""","=""123653.177""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""",,"=""T1218n""","=""L2634""",
"=""550.6113""","=""550.61121""","=""5""","=""3.6e+05""",D+,"=""105617.2700""","=""123773.8614""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""""","=""552.49567""","=""""","=""1.7e+05""",D+,"=""105462.7596""","=""123557.4227""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""""",
"=""""","=""552.8961""","=""""","=""1.2e+05""",E,"=""107054.2720""","=""125135.831""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""553.4479""","=""""","=""2.7e+05""",D+,"=""107289.7001""","=""125353.23""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""554.08596""","=""""","=""4.1e+04""",D,"=""105462.7596""","=""123505.4896""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""555.2741""","=""""","=""7.9e+04""",E,"=""107131.7086""","=""125135.831""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""555.8702""","=""555.87018""","=""25""","=""1.42e+06""",C,"=""104102.0990""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""555.9676""","=""""","=""2.2e+05""",D+,"=""107131.7086""","=""125113.376""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""557.2541""","=""557.25412""","=""10""","=""6.6e+05""",C,"=""105617.2700""","=""123557.4227""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""""","=""557.4228""","=""""","=""4.6e+04""",D,"=""107131.7086""","=""125066.432""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""558.18714""","=""""","=""5.6e+04""",D+,"=""105462.7596""","=""123372.9253""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""558.87196""","=""""","=""1.5e+05""",D+,"=""105617.2700""","=""123505.4896""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""559.7476""","=""""","=""4.2e+05""",E,"=""107289.7001""","=""125149.937""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
"=""560.6733""","=""560.67329""","=""35""","=""2.20e+06""",C,"=""104102.0990""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""""","=""561.8014""","=""""","=""2.1e+05""",D,"=""106087.2598""","=""123882.203""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""562.0921""","=""""","=""3.6e+05""",D,"=""106087.2598""","=""123873.000""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""""","=""562.3770""","=""""","=""1.4e+05""",D,"=""107289.7001""","=""125066.432""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
