obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""522.1271""","=""522.1270""","=""7""","=""8.8e+05""",D,"=""105462.7596""","=""124609.856""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""L2634""",
"=""""","=""524.1093""","=""""","=""1.3e+05""",D,"=""105617.2700""","=""124691.951""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""524.6198""","=""""","=""1.2e+05""",E,"=""106237.5518""","=""125293.67""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
"=""""","=""524.9165""","=""""","=""7.9e+04""",E,"=""106237.5518""","=""125282.90""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""525.2787""","=""""","=""5.4e+05""",D,"=""105617.2700""","=""124649.485""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",,"=""T1164n""","=""""",
"=""""","=""525.4471""","=""""","=""3.6e+05""",E,"=""106087.2598""","=""125113.376""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""528.6069""","=""""","=""9.6e+04""",E,"=""106237.5518""","=""125149.937""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
"=""""","=""529.0015""","=""""","=""9.0e+04""",E,"=""106237.5518""","=""125135.831""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""530.9513""","=""""","=""1.2e+05""",E,"=""106237.5518""","=""125066.432""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""531.7715""","=""""","=""2.6e+05""",E,"=""107289.7001""","=""126089.54""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
